time,water_temp,flow_rate,motor_vibration,power_consumption,control_signal,fault_leakage,fault_clogging,fault_bearing_wear
86.0,20.0268,49.9825,0.3002,1.8808,0.27934,0.0,0.0,0.0
87.0,20.0766,50.2261,0.345,1.9778,0.284532,0.0,0.0,0.0
88.0,20.0051,50.3884,0.2654,2.1595,0.311468,0.0,0.0,0.0
89.0,19.8765,49.5958,0.2724,2.0279,0.28085,0.0,0.0,0.0
90.0,20.0751,49.7673,0.3122,1.5914,0.218388,0.0,0.0,0.0
91.0,20.0135,49.847,0.3025,2.1307,0.31038,0.0,0.0,0.0
92.0,20.1068,49.7584,0.2888,1.9498,0.281616,0.0,0.0,0.0
93.0,20.0636,49.9761,0.3174,2.2091,0.330578,0.0,0.0,0.0
94.0,20.0493,50.3056,0.298,2.1397,0.315656,0.0,0.0,0.0
95.0,20.0575,49.8825,0.3069,2.0558,0.314458,0.0,0.0,0.0
96.0,19.9937,49.8445,0.3212,2.1279,0.322788,0.0,0.0,0.0
97.0,20.0723,49.8003,0.3269,2.1254,0.295324,0.0,0.0,0.0
98.0,19.9292,50.1616,0.2739,2.2414,0.335396,0.0,0.0,0.0
99.0,20.1497,49.9553,0.3019,1.8685,0.268058,0.0,0.0,0.0
100.0,20.0242,50.0679,0.2898,2.4767,0.375506,0.0,0.0,0.0
101.0,20.0643,49.7972,0.3159,2.2524,0.320322,0.0,0.0,0.0
102.0,20.0964,50.1676,0.3186,2.3255,0.344818,0.0,0.0,0.0
103.0,20.0857,50.0138,0.2805,2.4185,0.36521,0.0,0.0,0.0
104.0,19.9966,50.0827,0.3247,2.4339,0.36693,0.0,0.0,0.0
105.0,20.0886,49.7953,0.2718,2.1811,0.32945,0.0,0.0,0.0
106.0,20.0357,49.9585,0.3114,2.4827,0.37696,0.0,0.0,0.0
107.0,20.1275,49.8709,0.2945,2.3411,0.355758,0.0,0.0,0.0
108.0,20.0084,50.2378,0.2999,2.6046,0.405572,0.0,0.0,0.0
109.0,19.957,50.0355,0.3029,2.332,0.354386,0.0,0.0,0.0
110.0,20.1557,49.9478,0.2983,2.2222,0.33174,0.0,0.0,0.0
111.0,19.9215,50.276,0.3206,2.7905,0.428678,0.0,0.0,0.0
112.0,20.1804,50.396,0.3038,2.1351,0.32006,0.0,0.0,0.0
113.0,19.986,49.8174,0.2993,2.906,0.447914,0.0,0.0,0.0
114.0,20.1304,50.3133,0.2753,2.3191,0.359968,0.0,0.0,0.0
115.0,19.9302,49.9473,0.2484,2.772,0.434936,0.0,0.0,0.0
116.0,20.0521,49.9454,0.2702,2.3294,0.34238,0.0,0.0,0.0
117.0,20.1147,50.0414,0.2926,2.6367,0.40175,0.0,0.0,0.0
118.0,19.9142,50.0604,0.2965,2.7909,0.43478,0.0,0.0,0.0
119.0,20.0548,50.0843,0.3348,2.2425,0.342454,0.0,0.0,0.0
120.0,20.0379,49.8467,0.3485,2.6597,0.4099,0.0,0.0,0.0
121.0,20.0908,49.6639,0.3024,2.5896,0.403022,0.0,0.0,0.0
122.0,19.8733,50.0205,0.3118,2.792,0.432842,0.0,0.0,0.0
123.0,20.0348,49.8026,0.2889,2.1824,0.330298,0.0,0.0,0.0
124.0,20.0134,49.8208,0.2954,2.5896,0.405262,0.0,0.0,0.0
125.0,20.0564,50.0356,0.3094,2.4865,0.394116,0.0,0.0,0.0
126.0,20.0109,50.1282,0.268,2.6978,0.417116,0.0,0.0,0.0
127.0,20.0304,49.981,0.309,2.602,0.398018,0.0,0.0,0.0
128.0,20.0154,50.0305,0.2844,2.6416,0.40955,0.0,0.0,0.0
129.0,20.0117,49.9663,0.2902,2.6608,0.404092,0.0,0.0,0.0
130.0,20.019,49.8126,0.2788,2.6301,0.403774,0.0,0.0,0.0
131.0,19.9971,50.2125,0.2918,2.6664,0.408434,0.0,0.0,0.0
132.0,20.0263,50.1265,0.3107,2.6034,0.398858,0.0,0.0,0.0
133.0,19.9285,50.1004,0.2996,2.6779,0.413664,0.0,0.0,0.0
134.0,19.9803,49.8616,0.2783,2.4153,0.366284,0.0,0.0,0.0
135.0,19.9747,50.1704,0.2989,2.4895,0.38842,0.0,0.0,0.0
136.0,19.9533,49.5153,0.3036,2.544,0.383008,0.0,0.0,0.0
137.0,19.9569,50.0364,0.307,2.4993,0.370396,0.0,0.0,0.0
138.0,19.9531,49.9077,0.3036,2.5145,0.368888,0.0,0.0,0.0
139.0,19.9311,49.826,0.2581,2.4247,0.363468,0.0,0.0,0.0
140.0,19.9134,49.6048,0.2776,2.3596,0.348792,0.0,0.0,0.0
141.0,19.9022,50.0357,0.2932,2.2797,0.33487,0.0,0.0,0.0
142.0,20.0449,49.7404,0.2975,2.2192,0.322696,0.0,0.0,0.0
143.0,19.8872,50.2205,0.2917,2.5084,0.386446,0.0,0.0,0.0
144.0,20.0876,50.0527,0.2933,2.1529,0.308334,0.0,0.0,0.0
145.0,20.0538,50.1346,0.2776,2.8016,0.402664,0.0,0.0,0.0
146.0,19.8947,49.86,0.3325,2.562,0.388764,0.0,0.0,0.0
147.0,19.9744,50.1094,0.2936,2.0885,0.314194,0.0,0.0,0.0
148.0,19.9167,50.0045,0.2896,2.368,0.348802,0.0,0.0,0.0
149.0,19.8748,49.8521,0.327,2.132,0.31631,0.0,0.0,0.0
150.0,20.0766,49.7671,0.2833,2.0339,0.28985,0.0,0.0,0.0
151.0,20.0145,49.8018,0.3136,2.5763,0.381572,0.0,0.0,0.0
152.0,19.8796,49.9454,0.3072,2.395,0.352614,0.0,0.0,0.0
153.0,19.9106,50.0085,0.2865,1.9006,0.287566,0.0,0.0,0.0
154.0,19.8869,50.1174,0.3389,2.1476,0.296132,0.0,0.0,0.0
155.0,19.9607,50.1378,0.3212,1.9307,0.27651,0.0,0.0,0.0
156.0,20.0801,49.9785,0.2903,2.1064,0.304836,0.0,0.0,0.0
157.0,19.8757,49.9503,0.2767,2.3756,0.359916,0.0,0.0,0.0
158.0,20.0687,49.9815,0.2813,1.8585,0.261736,0.0,0.0,0.0
159.0,19.8974,50.2901,0.2725,2.3355,0.35238,0.0,0.0,0.0
160.0,19.9092,50.2377,0.263,1.9044,0.268366,0.0,0.0,0.0
161.0,20.011,49.3691,0.2616,1.8865,0.269484,0.0,0.0,0.0
162.0,19.8915,49.9558,0.2763,2.1226,0.312884,0.0,0.0,0.0
163.0,19.985,50.1163,0.3287,1.7901,0.251978,0.0,0.0,0.0
164.0,19.9497,49.941,0.299,1.9572,0.292438,0.0,0.0,0.0
165.0,19.9344,49.8086,0.2682,1.9846,0.271718,0.0,0.0,0.0
166.0,20.0379,50.0545,0.2659,1.8148,0.26075,0.0,0.0,0.0
167.0,19.9169,49.7819,0.2964,2.1058,0.307558,0.0,0.0,0.0
168.0,19.9553,49.9043,0.2482,1.8272,0.24802,0.0,0.0,0.0
169.0,20.0294,49.77,0.2684,1.9401,0.262992,0.0,0.0,0.0
170.0,19.8885,50.1195,0.2934,1.9696,0.295698,0.0,0.0,0.0
171.0,20.0105,50.2568,0.3118,1.8389,0.226118,0.0,0.0,0.0
172.0,19.937,49.7867,0.3231,2.0164,0.281016,0.0,0.0,0.0
173.0,19.9868,49.851,0.2594,1.8595,0.242666,0.0,0.0,0.0
174.0,19.9923,50.1867,0.315,1.9347,0.263996,0.0,0.0,0.0
175.0,19.9301,50.0391,0.3071,1.9375,0.264694,0.0,0.0,0.0
176.0,20.0181,50.4411,0.3138,1.7661,0.232868,0.0,0.0,0.0
177.0,20.0401,50.3608,0.3021,1.9919,0.27252,0.0,0.0,0.0
178.0,20.006,50.1808,0.285,2.0417,0.283208,0.0,0.0,0.0
179.0,19.9517,49.9998,0.3386,1.9273,0.268926,0.0,0.0,0.0
180.0,20.0148,50.0155,0.2765,1.7469,0.242938,0.0,0.0,0.0
181.0,20.0285,50.2903,0.296,1.9166,0.27171,0.0,0.0,0.0
182.0,20.0052,49.696,0.326,1.9827,0.278482,0.0,0.0,0.0
183.0,19.9824,49.9192,0.3349,1.8749,0.268838,0.0,0.0,0.0
184.0,19.9814,49.7892,0.286,1.7844,0.25832,0.0,0.0,0.0
185.0,19.9481,49.7005,0.2688,1.8225,0.256868,0.0,0.0,0.0
186.0,20.0027,50.0957,0.299,1.7318,0.23875,0.0,0.0,0.0
187.0,20.1396,50.048,0.3095,1.7492,0.262564,0.0,0.0,0.0
188.0,19.8906,49.9148,0.3075,2.1995,0.330138,0.0,0.0,0.0
189.0,20.0802,50.1152,0.2689,1.6108,0.214068,0.0,0.0,0.0
190.0,20.0825,49.9745,0.3388,2.081,0.305096,0.0,0.0,0.0
191.0,19.9018,50.3538,0.2926,2.0628,0.30887,0.0,0.0,0.0
192.0,20.2184,50.0217,0.2713,1.7026,0.225074,0.0,0.0,0.0
193.0,19.9249,50.2087,0.2573,2.5188,0.379132,0.0,0.0,0.0
194.0,20.2324,50.065,0.2588,1.7367,0.243522,0.0,0.0,0.0
195.0,19.9983,50.1962,0.2608,2.5685,0.397134,0.0,0.0,0.0
196.0,20.1676,50.3722,0.2922,2.0906,0.292526,0.0,0.0,0.0
197.0,20.0791,50.1447,0.3166,2.4645,0.381722,0.0,0.0,0.0
198.0,20.0317,49.9306,0.2994,2.2954,0.347494,0.0,0.0,0.0
199.0,20.0273,49.7956,0.3014,2.2547,0.331892,0.0,0.0,0.0
200.0,19.989,50.1573,0.3375,2.2191,0.333176,0.0,0.0,0.0
201.0,20.1218,49.4693,0.2848,2.1288,0.316298,0.0,0.0,0.0
202.0,20.0242,50.0949,0.3127,2.4636,0.382584,0.0,0.0,0.0
203.0,19.963,49.9659,0.2976,2.2981,0.340872,0.0,0.0,0.0
204.0,20.101,50.1834,0.3309,2.1849,0.31416,0.0,0.0,0.0
205.0,20.0559,50.122,0.287,2.5669,0.381424,0.0,0.0,0.0
206.0,20.1701,50.007,0.3065,2.4328,0.364194,0.0,0.0,0.0
207.0,20.0062,49.9758,0.2961,2.828,0.426668,0.0,0.0,0.0
208.0,20.0411,50.1764,0.303,2.3838,0.356042,0.0,0.0,0.0
209.0,19.9541,49.9938,0.2773,2.4912,0.377266,0.0,0.0,0.0
210.0,20.0848,50.1498,0.3056,2.2609,0.336356,0.0,0.0,0.0
211.0,19.9231,49.7806,0.297,2.6161,0.399774,0.0,0.0,0.0
212.0,20.0389,50.0267,0.2909,2.1428,0.323094,0.0,0.0,0.0
213.0,20.0465,50.2393,0.3133,2.5216,0.378076,0.0,0.0,0.0
214.0,20.0168,49.8129,0.2706,2.653,0.382672,0.0,0.0,0.0
215.0,20.0324,49.9279,0.2944,2.4206,0.37139,0.0,0.0,0.0
216.0,19.9706,49.7219,0.2975,2.4667,0.381128,0.0,0.0,0.0
217.0,20.0853,49.8834,0.3186,2.3314,0.352508,0.0,0.0,0.0
218.0,19.9783,50.1314,0.2919,2.6663,0.408742,0.0,0.0,0.0
219.0,20.0829,50.0435,0.2923,2.4561,0.359772,0.0,0.0,0.0
220.0,20.0785,49.764,0.278,2.6323,0.412476,0.0,0.0,0.0
221.0,20.0453,49.8207,0.3235,2.678,0.414816,0.0,0.0,0.0
222.0,19.9639,49.483,0.285,2.5966,0.404584,0.0,0.0,0.0
223.0,20.0294,49.9212,0.2881,2.508,0.368172,0.0,0.0,0.0
224.0,19.9972,50.2508,0.2676,2.5575,0.399662,0.0,0.0,0.0
225.0,19.9619,50.115,0.2749,2.512,0.384604,0.0,0.0,0.0
226.0,20.1407,49.8379,0.2986,2.4601,0.367374,0.0,0.0,0.0
227.0,19.9296,49.9882,0.3019,2.93,0.454432,0.0,0.0,0.0
228.0,20.0151,50.0646,0.2967,2.3627,0.356562,0.0,0.0,0.0
229.0,19.98,49.8401,0.3088,2.5342,0.397902,0.0,0.0,0.0
230.0,20.0648,49.7447,0.3057,2.5026,0.37985,0.0,0.0,0.0
231.0,20.0599,49.9267,0.2858,2.6818,0.421352,0.0,0.0,0.0
232.0,19.9167,50.0569,0.3003,2.693,0.42239,0.0,0.0,0.0
233.0,20.0276,49.8997,0.2792,2.3597,0.35568,0.0,0.0,0.0
234.0,19.9157,50.1654,0.3169,2.6405,0.40733,0.0,0.0,0.0
235.0,20.0524,49.9938,0.3178,2.4275,0.35137,0.0,0.0,0.0
236.0,19.9844,50.1747,0.2932,2.6235,0.415214,0.0,0.0,0.0
237.0,19.9219,50.3578,0.3174,2.5184,0.382672,0.0,0.0,0.0
238.0,20.0928,49.8108,0.2768,2.3156,0.351534,0.0,0.0,0.0
239.0,19.8688,50.0308,0.3027,2.7272,0.431986,0.0,0.0,0.0
240.0,19.9768,49.7447,0.3075,2.1906,0.323992,0.0,0.0,0.0
241.0,19.9455,49.7933,0.2871,2.4187,0.371976,0.0,0.0,0.0
242.0,19.9714,50.1523,0.3118,2.4017,0.35231,0.0,0.0,0.0
243.0,20.0292,50.154,0.2897,2.3849,0.361526,0.0,0.0,0.0
244.0,19.9179,49.8652,0.308,2.5614,0.38762,0.0,0.0,0.0
245.0,19.9026,49.9301,0.2896,2.2574,0.33315,0.0,0.0,0.0
246.0,19.9681,49.6623,0.2569,2.2219,0.321158,0.0,0.0,0.0
247.0,19.9122,49.7165,0.2718,2.2988,0.346422,0.0,0.0,0.0
248.0,20.0343,50.0899,0.2948,2.1896,0.31461,0.0,0.0,0.0
249.0,19.9805,49.9187,0.3204,2.5296,0.369754,0.0,0.0,0.0
250.0,20.0528,50.1853,0.317,2.2471,0.343156,0.0,0.0,0.0
251.0,19.879,49.6661,0.2881,2.5322,0.378822,0.0,0.0,0.0
252.0,19.9832,49.7297,0.2901,2.0983,0.2947,0.0,0.0,0.0
253.0,19.9426,50.3409,0.3259,2.2443,0.340596,0.0,0.0,0.0
254.0,19.9379,49.9965,0.3003,2.2172,0.316868,0.0,0.0,0.0
255.0,19.9439,50.1048,0.3162,2.1209,0.310738,0.0,0.0,0.0
256.0,19.9282,50.2294,0.307,2.0515,0.308864,0.0,0.0,0.0
257.0,19.9709,49.9289,0.2853,2.0441,0.296406,0.0,0.0,0.0
258.0,19.9933,49.7743,0.2868,2.197,0.312326,0.0,0.0,0.0
259.0,19.9728,50.3033,0.2938,2.1295,0.320344,0.0,0.0,0.0
260.0,19.9846,49.9346,0.2747,2.1848,0.30911,0.0,0.0,0.0
261.0,19.8602,50.156,0.2712,2.1204,0.313244,0.0,0.0,0.0
262.0,19.9202,49.8333,0.2877,1.8465,0.249576,0.0,0.0,0.0
263.0,19.9991,50.2185,0.2925,1.9261,0.27088,0.0,0.0,0.0
264.0,20.0329,50.1798,0.3276,2.1404,0.302746,0.0,0.0,0.0
265.0,19.849,50.1762,0.3043,2.1722,0.317996,0.0,0.0,0.0
266.0,19.9643,50.0832,0.3168,1.6221,0.228002,0.0,0.0,0.0
267.0,19.9336,49.8098,0.3079,1.9391,0.27725,0.0,0.0,0.0
268.0,19.9308,50.0563,0.2998,1.7933,0.256738,0.0,0.0,0.0
269.0,19.967,50.081,0.279,1.8403,0.25064,0.0,0.0,0.0
270.0,20.1069,49.8118,0.2842,1.8918,0.26326,0.0,0.0,0.0
271.0,19.947,50.3603,0.2922,2.2403,0.329846,0.0,0.0,0.0
272.0,19.9732,50.2863,0.3179,1.797,0.25565,0.0,0.0,0.0
273.0,20.0607,50.0973,0.2868,1.9088,0.267708,0.0,0.0,0.0
274.0,19.9422,49.9367,0.2553,2.1675,0.30879,0.0,0.0,0.0
275.0,20.042,49.9728,0.3038,1.8822,0.252646,0.0,0.0,0.0
276.0,19.9637,50.6429,0.2966,2.085,0.300292,0.0,0.0,0.0
277.0,19.9722,49.7918,0.2714,1.9048,0.262506,0.0,0.0,0.0
278.0,20.0291,49.7293,0.3201,1.9533,0.265418,0.0,0.0,0.0
279.0,19.9606,50.1351,0.3073,2.0623,0.291474,0.0,0.0,0.0
280.0,19.9647,49.7575,0.3126,1.8832,0.258414,0.0,0.0,0.0
281.0,20.0156,49.6887,0.3172,1.8347,0.258682,0.0,0.0,0.0
282.0,20.0493,49.8487,0.3239,1.9826,0.281226,0.0,0.0,0.0
283.0,20.0075,49.7506,0.3119,2.0692,0.298306,0.0,0.0,0.0
284.0,20.0065,49.9273,0.3074,1.9706,0.280676,0.0,0.0,0.0
285.0,19.9666,50.2535,0.2981,1.9349,0.281612,0.0,0.0,0.0
286.0,19.9476,49.5759,0.2999,1.8856,0.262202,0.0,0.0,0.0
287.0,20.0091,49.9699,0.272,1.8278,0.250828,0.0,0.0,0.0
288.0,19.9991,50.0523,0.2649,1.9321,0.277766,0.0,0.0,0.0
289.0,20.148,49.6992,0.3068,1.8676,0.272264,0.0,0.0,0.0
290.0,20.0428,50.1336,0.2839,2.3319,0.346842,0.0,0.0,0.0
291.0,20.0483,50.4495,0.3121,1.9416,0.303104,0.0,0.0,0.0
292.0,19.9751,49.9592,0.3003,2.1022,0.311382,0.0,0.0,0.0
293.0,20.1008,50.1195,0.2866,1.9963,0.278536,0.0,0.0,0.0
294.0,20.0815,49.7889,0.3156,2.2591,0.340858,0.0,0.0,0.0
295.0,20.0229,49.5456,0.3007,2.1788,0.336758,0.0,0.0,0.0
296.0,20.0228,49.9197,0.2703,2.0946,0.314364,0.0,0.0,0.0
297.0,20.0041,50.2577,0.3142,2.1423,0.317318,0.0,0.0,0.0
298.0,20.0067,50.137,0.2965,2.1382,0.309794,0.0,0.0,0.0
299.0,20.0376,50.1602,0.2998,2.2575,0.311796,0.0,0.0,0.0
300.0,20.1118,50.1294,0.2765,2.2886,0.32773,0.0,0.0,0.0
301.0,19.8943,50.1707,0.3214,2.4305,0.36722,0.005,0.0,0.0
302.0,20.2019,50.1424,0.2869,1.9327,0.26593,0.01,0.0,0.0
303.0,19.9546,49.7898,0.256,2.6232,0.415624,0.015,0.0,0.0
304.0,20.0825,49.89,0.2768,2.1286,0.301974,0.02,0.0,0.0
305.0,20.0892,49.9789,0.2766,2.3793,0.367238,0.025,0.0,0.0
306.0,20.0798,50.1549,0.2367,2.5223,0.37463,0.03,0.0,0.0
307.0,20.1645,49.8978,0.3006,2.5119,0.376932,0.035,0.0,0.0
308.0,20.0503,49.871,0.3258,2.7754,0.425854,0.04,0.0,0.0
309.0,20.0316,49.9579,0.306,2.3945,0.38022,0.045,0.0,0.0
310.0,20.0988,49.7464,0.3256,2.4488,0.377178,0.05,0.0,0.0
311.0,19.9889,50.0969,0.3093,2.7286,0.41368,0.055,0.0,0.0
312.0,20.1723,50.0418,0.2755,2.484,0.36529,0.06,0.0,0.0
313.0,19.9667,50.1474,0.3089,2.9857,0.4583,0.065,0.0,0.0
314.0,20.0008,49.9449,0.3035,2.402,0.365616,0.07,0.0,0.0
315.0,20.0952,49.7128,0.3093,2.4592,0.384114,0.075,0.0,0.0
316.0,20.1022,49.7193,0.3216,2.8796,0.430696,0.08,0.0,0.0
317.0,20.0525,50.0968,0.3035,2.8268,0.439924,0.085,0.0,0.0
318.0,20.0307,50.2822,0.273,2.8193,0.42311,0.09,0.0,0.0
319.0,20.0309,49.9989,0.3284,2.6668,0.417404,0.095,0.0,0.0
320.0,20.0374,50.2335,0.2878,2.7066,0.420396,0.1,0.0,0.0
321.0,20.0606,49.8267,0.2732,2.6612,0.426114,0.105,0.0,0.0
322.0,19.942,49.8546,0.306,2.8157,0.440576,0.11,0.0,0.0
323.0,20.0225,49.8013,0.2722,2.4629,0.38566,0.115,0.0,0.0
324.0,20.0172,50.0035,0.2876,2.8455,0.423642,0.12,0.0,0.0
325.0,20.0538,49.9332,0.2846,2.727,0.421182,0.125,0.0,0.0
326.0,20.0177,50.0853,0.3078,2.8805,0.440964,0.13,0.0,0.0
327.0,20.1362,49.9606,0.2605,2.7652,0.426486,0.135,0.0,0.0
328.0,19.9872,50.1866,0.2906,3.1122,0.487874,0.14,0.0,0.0
329.0,20.0979,50.1359,0.3095,2.6634,0.4219,0.145,0.0,0.0
330.0,20.0425,50.4005,0.3096,3.0534,0.479206,0.15,0.0,0.0
331.0,19.9915,50.0193,0.2766,2.8414,0.457124,0.155,0.0,0.0
332.0,20.0255,50.0404,0.3223,2.7697,0.436132,0.16,0.0,0.0
333.0,20.0263,49.9612,0.3051,2.7773,0.453472,0.165,0.0,0.0
334.0,19.9846,49.814,0.2623,2.8678,0.455232,0.17,0.0,0.0
335.0,20.0263,49.9521,0.2664,2.7578,0.43647,0.175,0.0,0.0
336.0,19.9924,49.9438,0.2926,2.8924,0.456922,0.18,0.0,0.0
337.0,19.9741,49.8884,0.3591,2.8059,0.441242,0.185,0.0,0.0
338.0,20.0519,49.9688,0.3051,2.7251,0.432162,0.19,0.0,0.0
339.0,19.9907,50.0751,0.3226,2.9489,0.469356,0.195,0.0,0.0
340.0,20.0254,50.1365,0.2782,2.8262,0.441352,0.2,0.0,0.0
341.0,19.9247,49.8703,0.3243,2.9905,0.459182,0.205,0.0,0.0
342.0,20.0466,49.8317,0.2806,2.7338,0.41017,0.21,0.0,0.0
